date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-07-28T18:30:00+00:00,2023,Bundesliga,Austria,Lask Linz,1,1,Rapid Vienna,Match Finished
2023-07-29T15:00:00+00:00,2023,Bundesliga,Austria,Wolfsberger AC,2,1,FC BW Linz,Match Finished
2023-07-29T15:00:00+00:00,2023,Bundesliga,Austria,TSV Hartberg,2,2,Austria Lustenau,Match Finished
2023-07-29T15:00:00+00:00,2023,Bundesliga,Austria,WSG Wattens,1,3,Austria Klagenfurt,Match Finished
2023-07-29T17:30:00+00:00,2023,Bundesliga,Austria,SCR Altach,0,2,Red Bull Salzburg,Match Finished
2023-07-30T15:00:00+00:00,2023,Bundesliga,Austria,Austria Vienna,0,3,Sturm Graz,Match Finished
2023-08-05T15:00:00+00:00,2023,Bundesliga,Austria,Rapid Vienna,4,0,SCR Altach,Match Finished
2023-08-09T18:30:00+00:00,2023,Bundesliga,Austria,Austria Klagenfurt,2,2,Wolfsberger AC,Match Finished
2023-08-05T17:30:00+00:00,2023,Bundesliga,Austria,Sturm Graz,2,0,Lask Linz,Match Finished
2023-08-06T15:00:00+00:00,2023,Bundesliga,Austria,Austria Lustenau,0,2,Austria Vienna,Match Finished
2023-08-06T15:00:00+00:00,2023,Bundesliga,Austria,Red Bull Salzburg,3,0,WSG Wattens,Match Finished
2023-08-06T15:00:00+00:00,2023,Bundesliga,Austria,FC BW Linz,3,3,TSV Hartberg,Match Finished
2023-08-12T15:00:00+00:00,2023,Bundesliga,Austria,Sturm Graz,0,0,Austria Klagenfurt,Match Finished
2023-08-12T15:00:00+00:00,2023,Bundesliga,Austria,Wolfsberger AC,1,1,Austria Lustenau,Match Finished
2023-08-12T17:30:00+00:00,2023,Bundesliga,Austria,Lask Linz,2,0,FC BW Linz,Match Finished
2023-08-13T15:00:00+00:00,2023,Bundesliga,Austria,Red Bull Salzburg,2,0,Austria Vienna,Match Finished
2023-08-13T15:00:00+00:00,2023,Bundesliga,Austria,Rapid Vienna,0,1,TSV Hartberg,Match Finished
2023-08-13T15:00:00+00:00,2023,Bundesliga,Austria,SCR Altach,1,0,WSG Wattens,Match Finished
2023-08-19T17:30:00+00:00,2023,Bundesliga,Austria,Austria Klagenfurt,1,1,SCR Altach,Match Finished
2023-08-19T15:00:00+00:00,2023,Bundesliga,Austria,Austria Lustenau,0,1,Sturm Graz,Match Finished
2023-08-20T15:00:00+00:00,2023,Bundesliga,Austria,Austria Vienna,0,0,Wolfsberger AC,Match Finished
2023-08-20T15:00:00+00:00,2023,Bundesliga,Austria,FC BW Linz,0,5,Rapid Vienna,Match Finished
2023-08-20T15:00:00+00:00,2023,Bundesliga,Austria,TSV Hartberg,1,5,Red Bull Salzburg,Match Finished
2023-08-26T15:00:00+00:00,2023,Bundesliga,Austria,Sturm Graz,4,1,FC BW Linz,Match Finished
2023-08-26T15:00:00+00:00,2023,Bundesliga,Austria,Wolfsberger AC,1,2,Red Bull Salzburg,Match Finished
2023-08-26T17:30:00+00:00,2023,Bundesliga,Austria,Austria Lustenau,0,3,SCR Altach,Match Finished
2023-08-27T15:00:00+00:00,2023,Bundesliga,Austria,Rapid Vienna,1,1,WSG Wattens,Match Finished
2023-08-27T15:00:00+00:00,2023,Bundesliga,Austria,TSV Hartberg,0,3,Austria Klagenfurt,Match Finished
2023-09-02T15:00:00+00:00,2023,Bundesliga,Austria,Wolfsberger AC,0,3,TSV Hartberg,Match Finished
2023-09-02T15:00:00+00:00,2023,Bundesliga,Austria,WSG Wattens,2,4,FC BW Linz,Match Finished
2023-09-02T17:30:00+00:00,2023,Bundesliga,Austria,SCR Altach,1,2,Sturm Graz,Match Finished
2023-09-03T15:00:00+00:00,2023,Bundesliga,Austria,Red Bull Salzburg,2,0,Rapid Vienna,Match Finished
2023-09-03T15:00:00+00:00,2023,Bundesliga,Austria,Lask Linz,2,0,Austria Lustenau,Match Finished
2023-09-03T15:00:00+00:00,2023,Bundesliga,Austria,Austria Vienna,2,2,Austria Klagenfurt,Match Finished
2023-09-16T17:30:00+00:00,2023,Bundesliga,Austria,Sturm Graz,2,2,Red Bull Salzburg,Match Finished
2023-09-16T15:00:00+00:00,2023,Bundesliga,Austria,Austria Klagenfurt,1,3,Lask Linz,Match Finished
2023-09-17T15:00:00+00:00,2023,Bundesliga,Austria,Rapid Vienna,3,3,Wolfsberger AC,Match Finished
2023-09-16T15:00:00+00:00,2023,Bundesliga,Austria,FC BW Linz,1,1,SCR Altach,Match Finished
2023-09-17T12:30:00+00:00,2023,Bundesliga,Austria,TSV Hartberg,2,1,Austria Vienna,Match Finished
2023-09-23T15:00:00+00:00,2023,Bundesliga,Austria,Red Bull Salzburg,0,1,FC BW Linz,Match Finished
2023-09-24T12:30:00+00:00,2023,Bundesliga,Austria,Lask Linz,0,0,TSV Hartberg,Match Finished
2023-09-23T15:00:00+00:00,2023,Bundesliga,Austria,Austria Klagenfurt,1,0,Austria Lustenau,Match Finished
2023-09-24T15:00:00+00:00,2023,Bundesliga,Austria,Rapid Vienna,1,1,Sturm Graz,Match Finished
2023-09-24T12:30:00+00:00,2023,Bundesliga,Austria,SCR Altach,2,1,Austria Vienna,Match Finished
2023-09-23T15:00:00+00:00,2023,Bundesliga,Austria,WSG Wattens,2,3,Wolfsberger AC,Match Finished
2023-09-30T15:00:00+00:00,2023,Bundesliga,Austria,Wolfsberger AC,2,1,Lask Linz,Match Finished
2023-10-01T15:00:00+00:00,2023,Bundesliga,Austria,Austria Vienna,0,0,Rapid Vienna,Match Finished
2023-09-30T15:00:00+00:00,2023,Bundesliga,Austria,FC BW Linz,0,0,Austria Klagenfurt,Match Finished
2023-09-30T15:00:00+00:00,2023,Bundesliga,Austria,Austria Lustenau,0,4,Red Bull Salzburg,Match Finished
2023-10-01T12:30:00+00:00,2023,Bundesliga,Austria,TSV Hartberg,0,0,SCR Altach,Match Finished
2023-10-08T12:30:00+00:00,2023,Bundesliga,Austria,Lask Linz,1,0,SCR Altach,Match Finished
2023-10-08T12:30:00+00:00,2023,Bundesliga,Austria,Wolfsberger AC,1,2,Sturm Graz,Match Finished
2023-10-07T15:00:00+00:00,2023,Bundesliga,Austria,Austria Vienna,4,0,FC BW Linz,Match Finished
2023-10-08T15:00:00+00:00,2023,Bundesliga,Austria,Austria Klagenfurt,2,2,Red Bull Salzburg,Match Finished
2023-10-07T15:00:00+00:00,2023,Bundesliga,Austria,Austria Lustenau,0,5,Rapid Vienna,Match Finished
2023-10-07T15:00:00+00:00,2023,Bundesliga,Austria,TSV Hartberg,3,0,WSG Wattens,Match Finished
2023-10-21T15:00:00+00:00,2023,Bundesliga,Austria,Red Bull Salzburg,0,1,Lask Linz,Match Finished
2023-10-21T15:00:00+00:00,2023,Bundesliga,Austria,Sturm Graz,2,1,TSV Hartberg,Match Finished
2023-10-22T15:00:00+00:00,2023,Bundesliga,Austria,Rapid Vienna,2,3,Austria Klagenfurt,Match Finished
2023-10-21T15:00:00+00:00,2023,Bundesliga,Austria,FC BW Linz,0,0,Austria Lustenau,Match Finished
2023-10-22T12:30:00+00:00,2023,Bundesliga,Austria,SCR Altach,0,0,Wolfsberger AC,Match Finished
